Name,Sector,Voltage Ratio (kV/kV),Executive Agency,Capacity (MW/MVA),Month Of Completion,Year Of Completion (FY)
Biswanath Chariyali & Agra HVDC terminal (Pole-I),Central,±800,PGCIL,1500.0,NOV-15,2015-16
Angul (ICT-II),Central,765/400,PGCIL,1500.0,APR-15,2015-16
Bareilly (ICT-I),Central,765/400,PGCIL,1500.0,APR-15,2015-16
Thiruvalam S/S,Central,765/400,PGCIL,1500.0,APR-15,2015-16
Angul (ICT-III),Central,765/400,PGCIL,1500.0,MAY-15,2015-16
Champa Pooling Station(ICT-I),Central,765/400,PGCIL,1500.0,JUN-15,2015-16
Vadodara S/S,Central,765/400,PGCIL,3000.0,JUN-15,2015-16
Vindhyachal Pooling Station (ICT-II),Central,765/400,PGCIL,1500.0,AUG-15,2015-16
Angul S/S (ICT-IV),Central,765/400,PGCIL,1500.0,JAN-16,2015-16
Purnea (Aug.) (500-315),Central,400/220,PGCIL,160.0,JUN-15,2015-16
Biswanath Chariyali S/S,Central,400/132,PGCIL,200.0,SEP-15,2015-16
Kozhikode S/Stn. (2x315),Central,400/220,PGCIL,630.0,OCT-15,2015-16
Madhugiri S/S,Central,400/220,PGCIL,1000.0,NOV-15,2015-16
Muzaffarpur (ICT),Central,400/220,PGCIL,500.0,DEC-15,2015-16
Agra S/S (Aug.),Central,400/220,PGCIL,315.0,JAN-16,2015-16
Biswanath Chariyali S/S (ICT-II),Central,400/132,PGCIL,200.0,JAN-16,2015-16
Hazira S/S,Private,400/220,EPTCL,1000.0,JUL-15,2015-16
Rewa Road (GIS),Private,400/220,SEUPPTCL,630.0,NOV-15,2015-16
Sarnath (Aug),State,400/220,UPPTCL,500.0,APR-15,2015-16
Sarojini Nagar (Aug.),State,400/220,UPPTCL,75.0,APR-15,2015-16
Kukurmara (Azara)  S/S,State,400/220,AEGCL,630.0,MAY-15,2015-16
Bareilly (Aug) (2x315) S/S,State,400/220,UPPTCL,315.0,MAY-15,2015-16
Sholinganallur (Ottinmbakkam) S/S,State,400/230-110,TANTRANSCO,0.0,JUN-15,2015-16
Kanarapatty S/S,State,400/230-110,TANTRANSCO,0.0,JUN-15,2015-16
Kharghar S/S,State,400/220,MSETCL,315.0,JUN-15,2015-16
Nagda (Addl.),State,400/220,MPPTCL,315.0,AUG-15,2015-16
Duburi S/S,State,400/220,OPTCL,630.0,AUG-15,2015-16
Muradnagar II (ICT-I),State,400/220,UPPTCL,240.0,SEP-15,2015-16
Aligarh S/s,State,400/220,UPPTCL,500.0,OCT-15,2015-16
Katni (Addl.),State,400/220,MPPTCL,315.0,NOV-15,2015-16
Koradi -II,State,400/220,MSETCL,500.0,NOV-15,2015-16
Muradnagar - II (ICT-II) S/S,State,400/220,UPPTCL,240.0,DEC-15,2015-16
Manubolu (Nellore) S/S,State,400/220,APTRANSCO,315.0,JAN-16,2015-16
Chorania (Aug.) S/S,State,400/220,GETCO,500.0,JAN-16,2015-16
Vadavi (Aug.) S/S,State,400/220,GETCO,315.0,JAN-16,2015-16
Ajmer S/S,State,400/220,RVPNL,315.0,JAN-16,2015-16
Mamidipalli S/S,State,400/220,TSTRANSCO,315.0,JAN-16,2015-16
Mundka s/s(3rd 400/220 kV ICT),State,400/220,DTL,315.0,FEB-16,2015-16
Nanded (Kumbhargaon)S/S,State,400/220,MSETCL,500.0,FEB-16,2015-16
Hindupur (Aug.),State,220/66,APTRANSCO,60.0,APR-15,2015-16
Manubolu (Aug.),State,220/66,APTRANSCO,100.0,APR-15,2015-16
Peera Garhi (2x100),State,220/33,DTL,200.0,APR-15,2015-16
Daultabad,State,220/66,HVPNL,100.0,APR-15,2015-16
Nawada (Addl.),State,220/66,HVPNL,100.0,APR-15,2015-16
Ambewadi (Aug.),State,220/110,KPTCL,45.0,APR-15,2015-16
Kemar (Aug.),State,230/110,KPTCL,100.0,APR-15,2015-16
Datia S/S,State,220/132,MPPTCL,160.0,APR-15,2015-16
Gwalior-II (Banmore) S/S,State,220/132,MPPTCL,160.0,APR-15,2015-16
Boisar S/S,State,220/33,MSETCL,50.0,APR-15,2015-16
Butibori S/S,State,220/132,MSETCL,100.0,APR-15,2015-16
Chinchwad S/S,State,220/22,MSETCL,50.0,APR-15,2015-16
Coiourchem S/S,State,220/22,MSETCL,50.0,APR-15,2015-16
Dhule S/S,State,220/33,MSETCL,25.0,APR-15,2015-16
Kamba S/S,State,220/22,MSETCL,50.0,APR-15,2015-16
Magarpatta S/S,State,220/132,MSETCL,100.0,APR-15,2015-16
Nalasopara (Aug.),State,220/22,MSETCL,100.0,APR-15,2015-16
Pegasus S/S,State,220/22,MSETCL,25.0,APR-15,2015-16
Raymond S/S,State,220/33,MSETCL,50.0,APR-15,2015-16
Satana S/S,State,220/132,MSETCL,200.0,APR-15,2015-16
Serum S/S,State,220/22,MSETCL,50.0,APR-15,2015-16
Duburi S/S,State,220/33,OPTCL,40.0,APR-15,2015-16
Banur (Aug.),State,220/66,PSTCL,100.0,APR-15,2015-16
Devigarh (Aug.) (2nd Addl.),State,220/66,PSTCL,160.0,APR-15,2015-16
Haridwar (Aug.) S/S,State,220/33,PTCUL,120.0,APR-15,2015-16
Sitapura S/S,State,220/132,RVPNL,160.0,APR-15,2015-16
Tehendesar S/S,State,220/132,RVPNL,100.0,APR-15,2015-16
Anthiyur (Addl.),State,230/110,TANTRANSCO,100.0,APR-15,2015-16
Guindy (GIS ) (New) S/S,State,230/110,TANTRANSCO,200.0,APR-15,2015-16
Thondayarpet (Addl),State,230/110,TANTRANSCO,100.0,APR-15,2015-16
Fabcity S/S,State,220/132,TSTRANSCO,150.0,APR-15,2015-16
Miyapur S/S,State,220/132,TSTRANSCO,160.0,APR-15,2015-16
B.K.T Lucknow (Now),State,220/132,UPPTCL,120.0,APR-15,2015-16
Chibramau (Aug.),State,220/132,UPPTCL,60.0,APR-15,2015-16
"Jansath, Muzaffarnagar (New)",State,220/132,UPPTCL,200.0,APR-15,2015-16
sarojini Nagar (Aug.),State,220/132,UPPTCL,60.0,APR-15,2015-16
Kudus -II (Addl.) S/S,State,220/33,MSETCL,100.0,MAY-15,2015-16
Abohar S/S,State,220/66,PSTCL,100.0,MAY-15,2015-16
Aau S/S,State,220/132,RVPNL,160.0,MAY-15,2015-16
Alandur (GIS) S/S,State,220/110,TANTRANSCO,100.0,MAY-15,2015-16
Erragadda (3x160),State,220/132,TSTRANSCO,160.0,MAY-15,2015-16
B.K.T. (Aug) -II,State,220/132,UPPTCL,60.0,MAY-15,2015-16
Mirzapur (Aug.) - II,State,220/132,UPPTCL,100.0,MAY-15,2015-16
RPH (Aug). S/S,State,220/132,UPPTCL,60.0,MAY-15,2015-16
Sahibabad (Aug.),State,220/132,UPPTCL,40.0,MAY-15,2015-16
Shamli (Aug.) S/S,State,220/132,UPPTCL,40.0,MAY-15,2015-16
Agiyol (Aug.),State,220/66,GETCO,50.0,JUN-15,2015-16
Asoj (Aug.),State,220/132,GETCO,150.0,JUN-15,2015-16
Dhangadhra (Aug.),State,220/66,GETCO,60.0,JUN-15,2015-16
Dhasa (Aug.),State,220/66,GETCO,60.0,JUN-15,2015-16
Jamnagar (Aug.),State,220/66,GETCO,60.0,JUN-15,2015-16
Jangral (Aug.),State,220/66,GETCO,60.0,JUN-15,2015-16
Manjuvas S/S,State,220/11,GETCO,50.0,JUN-15,2015-16
Radhanpur (Aug.),State,220/66,GETCO,50.0,JUN-15,2015-16
Rajkot (Nyara) (Aug.),State,220/66,GETCO,60.0,JUN-15,2015-16
Wagra (Aug.),State,220/66,GETCO,50.0,JUN-15,2015-16
Dumka S/S,State,220/132,JSEB,300.0,JUN-15,2015-16
Pithampur S/S,State,220/132,MPPTCL,160.0,JUN-15,2015-16
Sayane S/S,State,220/33,MSETCL,25.0,JUN-15,2015-16
Chhajali (Aug.) (Addl.) S/S,State,220/66,PSTCL,100.0,JUN-15,2015-16
Ghobaya  S/S,State,220/66,PSTCL,50.0,JUN-15,2015-16
Tanda (New) S/S,State,220/132,UPPTCL,320.0,JUN-15,2015-16
Bakreswar S/S,State,220/33,WBSETCL,50.0,JUN-15,2015-16
Khoday Glass Factory,State,220/66,KPTCL,300.0,JUL-15,2015-16
Mendhasal S/S,State,220/33,OPTCL,100.0,JUL-15,2015-16
Puri (Samangara) S/S,State,220/132,OPTCL,160.0,JUL-15,2015-16
Rengali S/S,State,220/33,OPTCL,20.0,JUL-15,2015-16
GNDTP Bathinda (Aug.),State,220/66,PSTCL,100.0,JUL-15,2015-16
Mahilpur (Aug.),State,220/66,PSTCL,100.0,JUL-15,2015-16
S.P.Koil (3rd Auto) (Aug.),State,230/110,TANTRANSCO,20.0,JUL-15,2015-16
Erragadda (2nd) S/S,State,220/132,TSTRANSCO,160.0,JUL-15,2015-16
Sirathu S/S,State,220/132,UPPTCL,160.0,JUL-15,2015-16
Bina S/S,State,220/132,MPPTCL,160.0,AUG-15,2015-16
Julwania S/S,State,220/132,MPPTCL,160.0,AUG-15,2015-16
Mendhegiri S/S,State,220/33,MSETCL,100.0,AUG-15,2015-16
Mulund S/S,State,220/22,MSETCL,50.0,AUG-15,2015-16
Shedyal S/S,State,220/33,MSETCL,100.0,AUG-15,2015-16
Tilwani S/S,State,220/33,MSETCL,50.0,AUG-15,2015-16
Alandur (CMRL),State,220/110,TANTRANSCO,100.0,AUG-15,2015-16
Bhelupur (New). S/S,State,220/33,UPPTCL,60.0,AUG-15,2015-16
Lalitpur S/S,State,220/132,UPPTCL,200.0,AUG-15,2015-16
Rampur -II (Extn.),State,220/132,UPPTCL,100.0,AUG-15,2015-16
Indore (Aug.) S/S,State,220/132,MPPTCL,40.0,SEP-15,2015-16
Colourchem ICT - II S/S,State,220/22,MSETCL,50.0,SEP-15,2015-16
Shedyal ICT-II S/S,State,220/33,MSETCL,100.0,SEP-15,2015-16
Vatika S/S,State,220/132/33,RVPNL,160.0,SEP-15,2015-16
Boner (New) ICT-I,State,220/132,UPPTCL,100.0,SEP-15,2015-16
Debai (ICT-I) S/S,State,220/132,UPPTCL,100.0,SEP-15,2015-16
Dewas S/S,State,220/132,MPPTCL,160.0,OCT-15,2015-16
Kudus-II (2nd T/F),State,220/33,MSETCL,100.0,OCT-15,2015-16
Sayla S/S,State,220/132/33,RVPNL,160.0,OCT-15,2015-16
Thiruverkkadu,State,230/110,TANTRANSCO,200.0,OCT-15,2015-16
Modipuram (Aug) (200-160),State,220/132,UPPTCL,40.0,OCT-15,2015-16
New Jalpaiguri (NJP)  (Aug.) S/S,State,220/132,WBSETCL,160.0,OCT-15,2015-16
Bobbili (Vizianagaram),State,220/132,APTRANSCO,100.0,NOV-15,2015-16
Atul (Navera) S/S,State,220/66,GETCO,320.0,NOV-15,2015-16
Modasa S/S,State,220/66,GETCO,260.0,NOV-15,2015-16
Fozal S/S,State,220/33,HPPTCL,126.0,NOV-15,2015-16
Anuppur (Addl.) S/S,State,220/132,MPPTCL,160.0,NOV-15,2015-16
Chhindwara (Addl.) S/S,State,220/132,MPPTCL,160.0,NOV-15,2015-16
Sirmour S/S,State,220/132,MPPTCL,160.0,NOV-15,2015-16
Shirsuphal S/S,State,220/22,MSETCL,50.0,NOV-15,2015-16
Kharar (Aug.),State,220/66,PSTCL,60.0,NOV-15,2015-16
Salem (Aug.),State,220/110,TANTRANSCO,20.0,NOV-15,2015-16
Osmania University,State,220/132,TSTRANSCO,160.0,NOV-15,2015-16
Azamgarh -II (Aug.),State,220/132,UPPTCL,100.0,NOV-15,2015-16
Baraut (Aug.),State,220/132,UPPTCL,40.0,NOV-15,2015-16
Muradnagar (Aug.),State,220/132,UPPTCL,100.0,NOV-15,2015-16
Thimmapuram S/S,State,220/132,APTRANSCO,100.0,DEC-15,2015-16
Charadava S/S,State,220/66,GETCO,200.0,DEC-15,2015-16
"A-4, Faridabad S/s",State,220/66,HVPNL,200.0,DEC-15,2015-16
Sampla (Aug.),State,220/132,HVPNL,100.0,DEC-15,2015-16
Arasikere S/S,State,220/110,KPTCL,200.0,DEC-15,2015-16
DG Plant Yelahanka,State,220/66,KPTCL,300.0,DEC-15,2015-16
Khanapur S/S,State,220/33,MSETCL,100.0,DEC-15,2015-16
Nandgaon Peth S/S,State,220/33,MSETCL,100.0,DEC-15,2015-16
Phulambri S/S,State,220/132,MSETCL,100.0,DEC-15,2015-16
Sayne (Addl.) S/S,State,220/33,MSETCL,25.0,DEC-15,2015-16
Tembhurni (Addl.),State,220/33,MSETCL,50.0,DEC-15,2015-16
Bassi Pathana (Aug.) (2nd Addl.),State,220/66,PSTCL,100.0,DEC-15,2015-16
Behror S/S,State,220/132,RVPNL,160.0,DEC-15,2015-16
Kuchera S/S,State,220/132,RVPNL,160.0,DEC-15,2015-16
Thingalur  S/S,State,230/110,TANTRANSCO,200.0,DEC-15,2015-16
Chatta (New) (2x160+2x40),State,220/132,UPPTCL,400.0,DEC-15,2015-16
Firozabad (Aug) (160-60),State,220/132,UPPTCL,60.0,DEC-15,2015-16
Harhua (New) (60) S/S,State,220/33,UPPTCL,60.0,DEC-15,2015-16
Loni (Aug) (200-150),State,220/132,UPPTCL,50.0,DEC-15,2015-16
Mainpuri (Aug.II) (160-100),State,220/132,UPPTCL,50.0,DEC-15,2015-16
Sarojini Nagar (Aug.) (200-100),State,220/132,UPPTCL,100.0,DEC-15,2015-16
Sonabil (2x100),State,220/132,AEGCL,200.0,JAN-16,2015-16
Hinganghat S/S,State,220/33,MSETCL,50.0,JAN-16,2015-16
GHTP Lehra Mohabbaton (Aug.) (160- 100),State,220/66,PSTCL,60.0,JAN-16,2015-16
Omega S/S,State,230/110,TANTRANSCO,100.0,JAN-16,2015-16
Ulundurpet S/S,State,230/110,TANTRANSCO,100.0,JAN-16,2015-16
Lalitpur (Aug.) (160-100),State,220/132,UPPTCL,60.0,JAN-16,2015-16
Orai (Aug.) -II (160-100),State,220/132,UPPTCL,60.0,JAN-16,2015-16
Sambhal (Aug.) III (100),State,220/132,UPPTCL,100.0,JAN-16,2015-16
Dharampur S/S,State,220/132,WBSETCL,320.0,JAN-16,2015-16
Pattiseema S/S,State,220/11,APTRANSCO,60.0,FEB-16,2015-16
Rachagunneri S/S (in Chitoor distt.),State,220/132,APTRANSCO,100.0,FEB-16,2015-16
Wazirpur (GIS),State,220/33,DTL,200.0,FEB-16,2015-16
Atri (Karadagadia) 1st ICT S/S,State,220/132,OPTCL,160.0,FEB-16,2015-16
Chonkarwada S/S (Bharatpur Distt.),State,220/132,RVPNL,160.0,FEB-16,2015-16
NPH (Jaipur) (GSS) (AUG.),State,220/132,RVPNL,160.0,FEB-16,2015-16
Ramgarh (GSS) (AUG),State,220/132,RVPNL,160.0,FEB-16,2015-16
Gurubarapally S/S,State,230/110,TANTRANSCO,100.0,FEB-16,2015-16
Vyasarpadi,State,230/110,TANTRANSCO,200.0,FEB-16,2015-16
Mokokchung (New),Central,220/132,PGCIL,30.0,JUL-15,2015-16
Mokokchung (ICT-II),Central,220/132,PGCIL,30.0,AUG-15,2015-16
Ara (ICT),Central,220/132,PGCIL,160.0,DEC-15,2015-16
Birpara (160-100) (Aug.),Central,220/132,PGCIL,60.0,DEC-15,2015-16
Siliguri (160 - 100) (Aug.),Central,220/132,PGCIL,60.0,JAN-16,2015-16
Champa Pooling Station ICT-II,Central,765/400,PGCIL,1500.0,MAR-16,2015-16
Varanasi (GIS) S/S,Central,765/400,PGCIL,3000.0,MAR-16,2015-16
Aurangabad - III (Ektuni) S/S,State,765/400,MSETCL,1500.0,MAR-16,2015-16
Bagpat (GIS) ICT-I S/S,Central,400/220,PGCIL,500.0,MAR-16,2015-16
Kishanganj ICT-I,Central,400/220,PGCIL,500.0,MAR-16,2015-16
Malekuttaiayur (Extn.),Central,400/220,PGCIL,500.0,MAR-16,2015-16
Mandola (Aug.)ICT-I (4x500-4x315),Central,400/220,PGCIL,185.0,MAR-16,2015-16
Panchkula,Central,400/220,PGCIL,500.0,MAR-16,2015-16
Purnea (Replacement) (500-315),Central,400/220,PGCIL,185.0,MAR-16,2015-16
Sasaram (Pusali) (Replacement ) ICT-I (500-315),Central,400/220,PGCIL,185.0,MAR-16,2015-16
Raipur S/S (ICT I & II.),State,400/220,CSPTCL,630.0,MAR-16,2015-16
Bamnoli (ICT Replacement ),State,400/220,DTL,370.0,MAR-16,2015-16
Asoj S/S,State,400/220/33,GETCO,500.0,MAR-16,2015-16
Soja S/S,State,400/220/33,GETCO,500.0,MAR-16,2015-16
Rishikesh (Aug.),State,400/220,PTCUL,75.0,MAR-16,2015-16
Suryapet S/S,State,400/220,TSTRANSCO,630.0,MAR-16,2015-16
Girdih (2nd Trf.) S/S,Central,220/132,DVC,150.0,MAR-16,2015-16
Kalyaneswari S/S,Central,220/132,DVC,160.0,MAR-16,2015-16
Purnea (Replacements ) (160-100),Central,220/132,PGCIL,60.0,MAR-16,2015-16
Purnea ICT-II S/S,Central,220/132,PGCIL,160.0,MAR-16,2015-16
Boko (Add.Trf),State,220/132,AEGCL,100.0,MAR-16,2015-16
Tinsukia (Aug.) (2x50 by 2x100),State,220/132,AEGCL,100.0,MAR-16,2015-16
Gangavaram port,State,220/33,APTRANSCO,100.0,MAR-16,2015-16
Sonenagar  S/S,State,220/132/33,BSEB,100.0,MAR-16,2015-16
Girwani S/S,State,220/132,CSPTCL,160.0,MAR-16,2015-16
Charanka S/S,State,220/66,GETCO,200.0,MAR-16,2015-16
Dhangadhra ICT-II,State,220/66,GETCO,60.0,MAR-16,2015-16
Dhansura S/S,State,220/66,GETCO,50.0,MAR-16,2015-16
Hadala ICT-II,State,220/66,GETCO,110.0,MAR-16,2015-16
Jamnagar S/S,State,220/132,GETCO,50.0,MAR-16,2015-16
Kheralu S/S,State,220/66,GETCO,160.0,MAR-16,2015-16
Lalpar S/S,State,220/66,GETCO,60.0,MAR-16,2015-16
Moti Paneli S/S,State,220/66,GETCO,50.0,MAR-16,2015-16
Navsari S/S,State,220/66,GETCO,50.0,MAR-16,2015-16
Palanpur S/S,State,220/66,GETCO,160.0,MAR-16,2015-16
Ranasan S/S,State,220/132,GETCO,50.0,MAR-16,2015-16
Sagapara S/S,State,220/66,GETCO,50.0,MAR-16,2015-16
Sardargadh S/S,State,220/66,GETCO,50.0,MAR-16,2015-16
Tharad S/S,State,220/66,GETCO,100.0,MAR-16,2015-16
Vallabhipur S/S ( Upgradation from 132 kV),State,220/132,GETCO,200.0,MAR-16,2015-16
Vapi (Addl.) S/S,State,220/66,GETCO,60.0,MAR-16,2015-16
Veloda (Sankhari) S/S,State,220/66,GETCO,320.0,MAR-16,2015-16
Waghodia S/S,State,220/66,GETCO,50.0,MAR-16,2015-16
Chaibasa,State,220/132,JSEB,300.0,MAR-16,2015-16
Ashoknagar S/S (upgradation),State,220/132,MPPTCL,160.0,MAR-16,2015-16
Shivpuri (addl) S/S,State,220/132,MPPTCL,160.0,MAR-16,2015-16
Akurdi (3x50),State,220/22,MSETCL,150.0,MAR-16,2015-16
Bhalwani S/S,State,220/33,MSETCL,50.0,MAR-16,2015-16
Bhokar S/S (addl.),State,220/132/33,MSETCL,200.0,MAR-16,2015-16
Bridestone (addl.),State,220/33,MSETCL,50.0,MAR-16,2015-16
Chakan-II,State,220/132,MSETCL,200.0,MAR-16,2015-16
Gadchandur (50-25),State,220/33,MSETCL,25.0,MAR-16,2015-16
Kondhwa S/S,State,220/22,MSETCL,100.0,MAR-16,2015-16
MIDC  Lonand  S/S,State,220/132/33,MSETCL,150.0,MAR-16,2015-16
Magarpatta S/S (ICT-I),State,220/132,MSETCL,100.0,MAR-16,2015-16
Mahape (addl.),State,220/22,MSETCL,50.0,MAR-16,2015-16
Manjarsumbha S/S,State,220/33,MSETCL,25.0,MAR-16,2015-16
Pal Dombivali S/S,State,220/22,MSETCL,100.0,MAR-16,2015-16
Walchandnagar,State,220/132,MSETCL,200.0,MAR-16,2015-16
Nangalbibra S/S (at Agia in Assam for Meghalaya),State,220/132,MeECL,100.0,MAR-16,2015-16
Naraingarh S/S (Upgraded from 132 kV),State,220/66,PSTCL,160.0,MAR-16,2015-16
Badnu (2nd ICT addl.),State,220/132,RVPNL,160.0,MAR-16,2015-16
Barli (Distt. Jodhpur ) S/S,State,220/132,RVPNL,160.0,MAR-16,2015-16
Danta Ramgarh,State,220/132,RVPNL,160.0,MAR-16,2015-16
Jethana S/S,State,220/132,RVPNL,160.0,MAR-16,2015-16
Niawana S/S,State,220/132,RVPNL,160.0,MAR-16,2015-16
Phalodi (2nd ICT addl.),State,220/132,RVPNL,160.0,MAR-16,2015-16
Alandur (Addl.) S/S,State,230/33,TANTRANSCO,200.0,MAR-16,2015-16
Anuppankulam (3rd auto transformer),State,230/110,TANTRANSCO,100.0,MAR-16,2015-16
Guindy (3rd auto tx.),State,230/110,TANTRANSCO,100.0,MAR-16,2015-16
Karuvalur (JICA) S/S,State,230/110,TANTRANSCO,200.0,MAR-16,2015-16
Manthani S/S,State,220/132,TSTRANSCO,200.0,MAR-16,2015-16
Salivagu Lift Irrigation,State,220/11,TSTRANSCO,63.0,MAR-16,2015-16
"Boner, Aligarh (New)",State,220/132,UPPTCL,160.0,MAR-16,2015-16
Dadri (Aug)(160-100),State,220/132,UPPTCL,60.0,MAR-16,2015-16
Firozabad (Aug.),State,220/132,UPPTCL,50.0,MAR-16,2015-16
Gajraula (Aug.),State,220/132,UPPTCL,60.0,MAR-16,2015-16
Noida Sector - 129 (Aug.),State,220/132,UPPTCL,160.0,MAR-16,2015-16
Sikandara (Agra) (Aug) (2x60-1x60),State,220/33,UPPTCL,60.0,MAR-16,2015-16
moradabad (Aug.) (160-100),State,220/132,UPPTCL,60.0,MAR-16,2015-16
"Biswanath Chariyali & Agra HVDC terminal
(Pole-II)",Central,800,PGCIL,1500.0,AUG-16,2016-17
Alipurduar & Agra (Extn.) HVDC s/s (Pole-3),Central,800,PGCIL,1500.0,MAR-17,2016-17
Champa & Kurukshetra HVDC s/s (Pole-1),Central,800,PGCIL,1500.0,MAR-17,2016-17
Pune (GIS) S/S,Central,765/400,PGCIL,3000.0,JUN-16,2016-17
Kanpur (GIS) S/S,Central,765/400,PGCIL,3000.0,JUL-16,2016-17
Champa Pooling Station (ICT-III & IV),Central,765/400,PGCIL,3000.0,SEP-16,2016-17
Champa Pooling Station (ICT-V& VI),Central,765/400,PGCIL,3000.0,DEC-16,2016-17
Vemagiri Pooling Station  (ICT-1),Central,765/400,PGCIL,1500.0,JAN-17,2016-17
Extn. Raigarh S/S,Central,765/400,PGCIL,1500.0,MAR-17,2016-17
Nizamabad Sub station (ICT-I),Central,765/400,PGCIL,1500.0,MAR-17,2016-17
Raipur (Extn.),Central,765/400,PGCIL,1500.0,MAR-17,2016-17
Vemagiri PS (ICT-II ),Central,765/400,PGCIL,1500.0,MAR-17,2016-17
Greater Noida AIS (ICT-2),Private,765/400,WUPPTCL,1500.0,APR-16,2016-17
Mainpuri S/S (ICT-1),Private,765/400,SEUPPTCL,1000.0,JAN-17,2016-17
Aurangabad III  (Ektuni) S/S (ICT-I),State,765/400,MSETCL,1500.0,MAY-16,2016-17
Agra (UP) S/S (ICT-I) (Fatehabad),State,765/400,UPPTCL,1500.0,SEP-16,2016-17
Agra (UP) S/S (ICT-II) (Fatehabad),State,765/400,UPPTCL,1500.0,FEB-17,2016-17
"Mandola S/s (Aug.) ICT-II (Replacing 315 MVA
with 500 MVA ICT)",Central,400/220,PGCIL,185.0,APR-16,2016-17
N.P. Kunta Pooling Station S/S (ICT-I),Central,400/220,PGCIL,500.0,APR-16,2016-17
Mandola S/s (Aug.) ICT-III (Replacement of 315 MVA by 500 MVA),Central,400/220,PGCIL,185.0,MAY-16,2016-17
Balipara (2nd ICT),Central,400/220,PGCIL,315.0,MAY-16,2016-17
Saharanpur S/S,Central,400/220,PGCIL,630.0,MAY-16,2016-17
Bagpat (ICT-II) S/S,Central,400/220,PGCIL,500.0,JUN-16,2016-17
Jalandhar (Extn.),Central,400/220,PGCIL,500.0,JUN-16,2016-17
Pandiabil S/S (ICT-I & II),Central,400/220,PGCIL,1000.0,JUN-16,2016-17
Jharkhand Pool (Chandwa) Switching GIS,Central,400,PGCIL,0.0,JUL-16,2016-17
N.P. Kunta Pooling Station S/S (ICT-II & III),Central,400/220,PGCIL,1000.0,JUL-16,2016-17
Somanahalli S/S,Central,400/220,PGCIL,500.0,AUG-16,2016-17
"Ballabhgarh S/S (Replacement of ICT-I & ICT-
II) ((500-315)",Central,400/220,PGCIL,370.0,SEP-16,2016-17
Baripada (Addl.),Central,400/220,PGCIL,500.0,SEP-16,2016-17
Extn. at Mysore  S/S,Central,400/220,PGCIL,500.0,SEP-16,2016-17
Kishanganj S/S (ICT-II),Central,400/220/33,PGCIL,500.0,SEP-16,2016-17
Maithon S/S (Replacement of ICT-I)  (500-315),Central,400/220,PGCIL,185.0,SEP-16,2016-17
Patna (Replacement of ICT-I) (500-315),Central,400/220,PGCIL,185.0,SEP-16,2016-17
Purnea S/S (Replacement of ICT-II) (500-315),Central,400/220,PGCIL,185.0,SEP-16,2016-17
"Mandola s/s (Aug.) ICT-IV (Replacing 315 MVA
with 500 MVA ICT)",Central,400/220,PGCIL,185.0,OCT-16,2016-17
Samba (Extn.) S/S,Central,400/220,PGCIL,315.0,OCT-16,2016-17
Extn. at 400/220 KV Damoh s/s,Central,400/220,PGCIL,500.0,NOV-16,2016-17
Extn. at Madurai s/s,Central,400/220,PGCIL,500.0,DEC-16,2016-17
Dehar s/s (Replacement),Central,400/220,PGCIL,65.0,JAN-17,2016-17
Dehradun,Central,400/220,PGCIL,630.0,JAN-17,2016-17
Extn. at Hyderabad S/s,Central,400/220,PGCIL,500.0,FEB-17,2016-17
Aug. Vijayawada s/s,Central,400/220,PGCIL,500.0,MAR-17,2016-17
Aug. at Pugalur s/s,Central,400/220,PGCIL,500.0,MAR-17,2016-17
Sikandrabad AIS (ICT-2),Private,400/220,WUPPTCL,500.0,APR-16,2016-17
Patran S/S (ICT I & II) (PTL - TBCB),Private,400/220,PATRANTCL,1000.0,JUN-16,2016-17
Sikandrabad AIS (ICT-1),Private,400/220,WUPPTCL,500.0,JUN-16,2016-17
Alwar S/S,Private,400/220,APL,630.0,FEB-17,2016-17
Deedwana S/S,Private,400/220/132,APL,630.0,FEB-17,2016-17
400 KV Gonda S/s,Private,220/132,SEUPPTCL,200.0,FEB-17,2016-17
N.P. Kunta Poling Station,State,220/33,APTRANSCO,160.0,APR-16,2016-17
DSIIDC Bawana (Addl.),State,220/66,DTL,160.0,APR-16,2016-17
Kanjhawala (Addl.),State,220/66,DTL,160.0,APR-16,2016-17
Pappankalan-II (Addl.),State,220/66,DTL,160.0,APR-16,2016-17
"Replacement of 100 MVA by 160 MVA at
Pappankalan-I",State,220/66,DTL,60.0,APR-16,2016-17
Sarita Vihar (Addl.),State,220/66,DTL,100.0,APR-16,2016-17
Pithampur-II S/S (Upgradation of 132 kV S/S),State,220/132,MPPTCL,160.0,APR-16,2016-17
Shajapur (Addl. 2nd Unit),State,220/132,MPPTCL,160.0,APR-16,2016-17
Sarna  (Addl.),State,220/132,PSTCL,100.0,APR-16,2016-17
Bansur (Distt. Alwar) S/S,State,220/132,RVPNL,160.0,APR-16,2016-17
KIDS Park (3r Auto Trf.),State,220/110,TANTRANSCO,100.0,APR-16,2016-17
Parigi (ICT-I) S/S,State,220/132,TSTRANSCO,100.0,APR-16,2016-17
Kaul S/S,State,220/132,HVPNL,100.0,MAY-16,2016-17
Sonta S/S (ICT-I),State,220/66,HVPNL,100.0,MAY-16,2016-17
Gurubarapally S/S (2nd Auto  Tr.),State,220/110,TANTRANSCO,100.0,MAY-16,2016-17
Singapuram S/S (ICT-I),State,220/110,TANTRANSCO,100.0,MAY-16,2016-17
